GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,6319306.0,1899190.0,30.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,2074250.0,1842859.0,89.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,DTPCV1,"DTP-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,10026068.0,97.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,DTPCV3,"DTP-containing vaccine, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9663933.0,94.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10341054.0,3398024.0,33.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,HEPB3,"HepB, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9242994.0,90.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,HIB3,"Hib, 3rd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9545917.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,9602043.0,93.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,11589690.0,10590893.0,91.0
DEVELOPMENT_STATUS,DEVELOPED_ECONOMY,Developed economy,2020.0,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,10306662.0,8838822.0,86.0
