GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2012.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2011.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2011.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2011.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2011.0,MEASLES,Measles,"per 1,000,000 total population",215.4
WHO_REGIONS,AFR,African Region,2011.0,MUMPS,Mumps,"per 1,000,000 total population",34.0
WHO_REGIONS,AFR,African Region,2011.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2011.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",10.4
WHO_REGIONS,AFR,African Region,2011.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.0
WHO_REGIONS,AFR,African Region,2011.0,RUBELLA,Rubella,"per 1,000,000 total population",18.6
WHO_REGIONS,AFR,African Region,2011.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2011.0,YFEVER,Yellow fever,"per 1,000,000 total population",3.6
WHO_REGIONS,AFR,African Region,2010.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2010.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2010.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2010.0,MEASLES,Measles,"per 1,000,000 total population",228.0
WHO_REGIONS,AFR,African Region,2010.0,MUMPS,Mumps,"per 1,000,000 total population",85.3
WHO_REGIONS,AFR,African Region,2010.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2010.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",12.6
WHO_REGIONS,AFR,African Region,2010.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.9
WHO_REGIONS,AFR,African Region,2010.0,RUBELLA,Rubella,"per 1,000,000 total population",3.8
WHO_REGIONS,AFR,African Region,2010.0,TTETANUS,Total tetanus,"per 1,000,000 total population",5.8
WHO_REGIONS,AFR,African Region,2010.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.2
WHO_REGIONS,AFR,African Region,2009.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
WHO_REGIONS,AFR,African Region,2009.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2009.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2009.0,MEASLES,Measles,"per 1,000,000 total population",98.2
WHO_REGIONS,AFR,African Region,2009.0,MUMPS,Mumps,"per 1,000,000 total population",17.8
WHO_REGIONS,AFR,African Region,2009.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2009.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",29.0
WHO_REGIONS,AFR,African Region,2009.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.3
WHO_REGIONS,AFR,African Region,2009.0,RUBELLA,Rubella,"per 1,000,000 total population",25.2
WHO_REGIONS,AFR,African Region,2009.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.7
WHO_REGIONS,AFR,African Region,2009.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2008.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2008.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2008.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2008.0,MEASLES,Measles,"per 1,000,000 total population",44.7
WHO_REGIONS,AFR,African Region,2008.0,MUMPS,Mumps,"per 1,000,000 total population",99.5
WHO_REGIONS,AFR,African Region,2008.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2008.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",37.3
WHO_REGIONS,AFR,African Region,2008.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.8
WHO_REGIONS,AFR,African Region,2008.0,RUBELLA,Rubella,"per 1,000,000 total population",22.3
WHO_REGIONS,AFR,African Region,2008.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.7
WHO_REGIONS,AFR,African Region,2008.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2007.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2007.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2007.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2007.0,MEASLES,Measles,"per 1,000,000 total population",94.9
WHO_REGIONS,AFR,African Region,2007.0,MUMPS,Mumps,"per 1,000,000 total population",118.1
WHO_REGIONS,AFR,African Region,2007.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2007.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",42.4
WHO_REGIONS,AFR,African Region,2007.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.3
WHO_REGIONS,AFR,African Region,2007.0,RUBELLA,Rubella,"per 1,000,000 total population",6.3
WHO_REGIONS,AFR,African Region,2007.0,TTETANUS,Total tetanus,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2007.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2006.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2006.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.9
WHO_REGIONS,AFR,African Region,2006.0,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2006.0,MEASLES,Measles,"per 1,000,000 total population",126.8
WHO_REGIONS,AFR,African Region,2006.0,MUMPS,Mumps,"per 1,000,000 total population",154.2
WHO_REGIONS,AFR,African Region,2006.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2006.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",38.0
WHO_REGIONS,AFR,African Region,2006.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",3.6
WHO_REGIONS,AFR,African Region,2006.0,RUBELLA,Rubella,"per 1,000,000 total population",5.1
WHO_REGIONS,AFR,African Region,2006.0,TTETANUS,Total tetanus,"per 1,000,000 total population",10.3
WHO_REGIONS,AFR,African Region,2006.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.5
WHO_REGIONS,AFR,African Region,2005.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2005.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.2
WHO_REGIONS,AFR,African Region,2005.0,MEASLES,Measles,"per 1,000,000 total population",426.6
WHO_REGIONS,AFR,African Region,2005.0,MUMPS,Mumps,"per 1,000,000 total population",576.9
WHO_REGIONS,AFR,African Region,2005.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2005.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",47.0
WHO_REGIONS,AFR,African Region,2005.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.7
WHO_REGIONS,AFR,African Region,2005.0,RUBELLA,Rubella,"per 1,000,000 total population",7.0
WHO_REGIONS,AFR,African Region,2005.0,TTETANUS,Total tetanus,"per 1,000,000 total population",5.0
WHO_REGIONS,AFR,African Region,2005.0,YFEVER,Yellow fever,"per 1,000,000 total population",1.0
WHO_REGIONS,AFR,African Region,2004.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2004.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2004.0,MEASLES,Measles,"per 1,000,000 total population",296.2
WHO_REGIONS,AFR,African Region,2004.0,MUMPS,Mumps,"per 1,000,000 total population",307.6
WHO_REGIONS,AFR,African Region,2004.0,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2004.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",55.8
WHO_REGIONS,AFR,African Region,2004.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.9
WHO_REGIONS,AFR,African Region,2004.0,RUBELLA,Rubella,"per 1,000,000 total population",11.5
WHO_REGIONS,AFR,African Region,2004.0,TTETANUS,Total tetanus,"per 1,000,000 total population",7.6
WHO_REGIONS,AFR,African Region,2004.0,YFEVER,Yellow fever,"per 1,000,000 total population",3.1
WHO_REGIONS,AFR,African Region,2003.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.1
