GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,CASES
WHO_REGIONS,AFR,African Region,2009.0,CRS,Congenital rubella syndrome,47.0
WHO_REGIONS,AFR,African Region,2009.0,DIPHTHERIA,Diphtheria,10.0
WHO_REGIONS,AFR,African Region,2009.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2009.0,MEASLES,Measles,83479.0
WHO_REGIONS,AFR,African Region,2009.0,MUMPS,Mumps,1698.0
WHO_REGIONS,AFR,African Region,2009.0,NTETANUS,Neonatal tetanus,1517.0
WHO_REGIONS,AFR,African Region,2009.0,PERTUSSIS,Pertussis,15768.0
WHO_REGIONS,AFR,African Region,2009.0,POLIO,Poliomyelitis,855.0
WHO_REGIONS,AFR,African Region,2009.0,RUBELLA,Rubella,17422.0
WHO_REGIONS,AFR,African Region,2009.0,TTETANUS,Total tetanus,4607.0
WHO_REGIONS,AFR,African Region,2009.0,YFEVER,Yellow fever,76.0
WHO_REGIONS,AFR,African Region,2008.0,CRS,Congenital rubella syndrome,0.0
WHO_REGIONS,AFR,African Region,2008.0,DIPHTHERIA,Diphtheria,72.0
WHO_REGIONS,AFR,African Region,2008.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2008.0,MEASLES,Measles,37012.0
WHO_REGIONS,AFR,African Region,2008.0,MUMPS,Mumps,16944.0
WHO_REGIONS,AFR,African Region,2008.0,NTETANUS,Neonatal tetanus,2182.0
WHO_REGIONS,AFR,African Region,2008.0,PERTUSSIS,Pertussis,19429.0
WHO_REGIONS,AFR,African Region,2008.0,POLIO,Poliomyelitis,996.0
WHO_REGIONS,AFR,African Region,2008.0,RUBELLA,Rubella,16297.0
WHO_REGIONS,AFR,African Region,2008.0,TTETANUS,Total tetanus,5505.0
WHO_REGIONS,AFR,African Region,2008.0,YFEVER,Yellow fever,270.0
WHO_REGIONS,AFR,African Region,2007.0,CRS,Congenital rubella syndrome,1.0
WHO_REGIONS,AFR,African Region,2007.0,DIPHTHERIA,Diphtheria,17.0
WHO_REGIONS,AFR,African Region,2007.0,JAPENC,Japanese encephalitis,0.0
WHO_REGIONS,AFR,African Region,2007.0,MEASLES,Measles,76410.0
